,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
93,Fernando Camilo Farias\Fernando-Camilo-Farias,br BRA,MF,Internacional,32,1986,1,1,54,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Gustavo Campanharo\Gustavo-Campanharo,br BRA,MF,Chapecoense,26,1992,25,20,1607,2,1,0,0,1,0,0.11,0.06,0.17,0.11,0.17,Matches
95,Edinho Campos\Edinho-Campos,br BRA,MF,Ceará,36,1983,2,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Lucas Campos\Lucas-Campos,br BRA,MF,Botafogo (RJ),21,1997,10,3,368,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Juninho Capixaba\Juninho-Capixaba,br BRA,DF,Grêmio,21,1997,17,16,1469,0,1,0,0,7,0,0.00,0.06,0.06,0.00,0.06,Matches
98,Felippe Cardoso\Felippe-Cardoso,br BRA,FW,Ceará,20,1998,18,14,1287,2,1,0,0,2,0,0.14,0.07,0.21,0.14,0.21,Matches
99,Johnny Cardoso\Johnny-Cardoso,us USA,FW,Internacional,17,2001,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Jones Carioca\Jones-Carioca,br BRA,MF,Avaí,30,1988,3,0,55,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
101,Thiago Carleto\Thiago-Carleto,br BRA,DF,Ceará,29,1989,5,5,437,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Joel Carli\Joel-Carli,ar ARG,DF,Botafogo (RJ),32,1986,25,25,2250,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Carlinhos\Carlinhos,br BRA,DF,Fortaleza,32,1986,27,27,2428,1,2,0,0,9,1,0.04,0.07,0.11,0.04,0.11,Matches
104,Carlinhos\Carlinhos,br BRA,DF,CSA,32,1987,26,26,2275,2,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
105,Carlos\Carlos,br BRA,DF,Corinthians,20,1999,15,13,1198,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
106,Antonio Carlos\Antonio-Carlos,br BRA,DF,Palmeiras,25,1993,9,8,738,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
