,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
95,Joel Campbell\Joel-Campbell,cr CRC,FWMF,León,26,1992,13,11,927,2,1,0,1,1,0,0.19,0.10,0.29,0.19,0.29,Matches
96,Pedro Campos\Pedro-Campos,cl CHI,MF,Necaxa,18,2000,3,1,65,0,1,0,0,0,0,0.00,1.38,1.38,0.00,1.38,Matches
97,Alexis Canelo\Alexis-Canelo,ar ARG,FWMF,Toluca,26,1992,19,12,1076,8,0,1,1,0,0,0.67,0.00,0.67,0.59,0.59,Matches
98,Gustavo Canto\Gustavo-Canto,ar ARG,DF,Tijuana,24,1994,11,9,799,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
99,Eric Cantú\Eric-Cantu,mx MEX,MFDF,Monterrey,19,1999,13,9,896,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Milton Caraglio\Milton-Caraglio,ar ARG,FW,Cruz Azul,29,1988,27,18,1717,15,1,5,6,4,1,0.79,0.05,0.84,0.52,0.58,Matches
101,Luis Cárdenas\Luis-Cardenas,mx MEX,GK,Monterrey,24,1993,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Edwin Cardona\Edwin-Cardona,co COL,MF,Pachuca,25,1992,17,15,1327,6,9,0,0,3,0,0.41,0.61,1.02,0.41,1.02,Matches
103,Ulises Cardona\Ulises-Cardona,mx MEX,MF,Atlas,19,1998,18,13,1134,1,0,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches
104,Rafael Carioca\Rafael-Carioca,br BRA,MF,UANL,29,1989,31,29,2461,0,3,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches
105,Juan Carlos Valenzuela\Juan-Carlos-Valenzuela,mx MEX,DF,Tijuana,34,1984,21,13,1234,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
