,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
138,Agustín Bolívar\Agustin-Bolivar,ar ARG,MF,Gimnasia ELP,22,1996,3,2,208,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Ezequiel Bonifacio\Ezequiel-Bonifacio,ar ARG,DFMF,Gimnasia ELP,24,1994,11,7,702,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Fabián Bordagaray\Fabian-Bordagaray,ar ARG,FW,Defensa y Just,31,1987,1,0,19,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Rafael Borré\Rafael-Borre,co COL,FW,River Plate,22,1995,19,14,1299,4,3,1,1,3,0,0.28,0.21,0.48,0.21,0.42,Matches
142,Rubén Botta\Ruben-Botta,ar ARG,MF,San Lorenzo,28,1990,18,17,1343,2,2,1,1,0,0,0.13,0.13,0.27,0.07,0.20,Matches
143,Jonathan Bottinelli\Jonathan-Bottinelli,ar ARG,DF,CA Unión,33,1984,24,23,2078,0,1,0,0,4,1,0.00,0.04,0.04,0.00,0.04,Matches
144,Gustavo Bou\Gustavo-Bou,ar ARG,FW,Racing Club,28,1990,8,2,292,1,4,0,0,0,0,0.31,1.23,1.54,0.31,1.54,Matches
145,Agustín Bouzat\Agustin-Bouzat,ar ARG,MFFW,Vélez Sarsf,24,1994,23,23,1870,4,4,0,0,2,0,0.19,0.19,0.39,0.19,0.39,Matches
146,Rodrigo Braña\Rodrigo-Brana,ar ARG,MF,Estudiantes,39,1979,14,13,1152,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
147,Fernando Brandán\Fernando-Brandan,ar ARG,MF,San Martín SJ,28,1990,7,3,356,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
148,Claudio Bravo\Claudio-Bravo,ar ARG,DF,Banfield,21,1997,17,17,1529,0,2,0,0,7,1,0.00,0.12,0.12,0.00,0.12,Matches
